year,month,rank,brand_model,ml_probability,forecast_units,has_seasonal_pattern
2024,1,1,Mercury-Grand Marquis,0.9999999980211509,6,True
2024,1,2,Chevrolet-Malibu,0.999999997063425,3,True
2024,1,3,BMW-323i,0.9999999951344078,2,True
2024,2,1,Mercury-Grand Marquis,0.9999999986431602,4,True
2024,2,2,Chevrolet-Malibu,0.9999999979864753,6,True
2024,2,3,BMW-323i,0.999999996663804,4,True
2024,3,1,Mercury-Grand Marquis,0.9999994987041904,10,True
2024,3,2,Chevrolet-Malibu,0.9999992027862067,9,True
2024,3,3,BMW-323i,0.9999987008601834,8,True
2024,4,1,Mercury-Grand Marquis,0.9999971194348368,7,True
2024,4,2,Chevrolet-Malibu,0.999994718916812,6,True
2024,4,3,Acura-TL,0.9999920147817362,6,True
2024,5,1,Mercury-Grand Marquis,0.9999960669783576,12,True
2024,5,2,Chevrolet-Malibu,0.9999927894023983,6,True
2024,5,3,Acura-TL,0.9999890972861583,10,True
2024,6,1,Mercury-Grand Marquis,0.9999958941016414,10,True
2024,6,2,Chevrolet-Malibu,0.9999924724602902,7,True
2024,6,3,Acura-TL,0.999988618058779,8,True
2024,7,1,Mercury-Grand Marquis,0.9999958941016414,5,True
2024,7,2,Chevrolet-Malibu,0.9999924724602902,10,True
2024,7,3,Acura-TL,0.999988618058779,10,True
2024,8,1,Mercury-Grand Marquis,0.9999930217138822,6,True
2024,8,2,Chevrolet-Malibu,0.9999852570573938,6,True
2024,8,3,BMW-323i,0.9999783508904948,8,True
2024,9,1,Mitsubishi-Diamante,0.9997275616992705,22,True
2024,9,2,Acura-RL,0.9989106570533545,23,True
2024,9,3,Volkswagen-Passat,0.9989012771693611,21,True
2024,10,1,Mitsubishi-Diamante,0.9997463588523829,16,True
2024,10,2,Acura-RL,0.9989857601784291,9,True
2024,10,3,Volkswagen-Passat,0.9989770263142905,16,True
2024,11,1,Mitsubishi-Diamante,0.9997463588523829,32,True
2024,11,2,Acura-RL,0.9989857601784291,26,True
2024,11,3,Volkswagen-Passat,0.9989770263142905,25,True
2024,12,1,Mitsubishi-Diamante,0.9996434718424629,33,True
2024,12,2,Acura-RL,0.9985747837105543,30,True
2024,12,3,Volkswagen-Passat,0.9985625159212075,25,True
